time,open,high,low,close,成交股數,成交金額,成交筆數,漲跌點數,外資買賣差額
2001-02-07,5738.66,5781.2,5685.59,5693.58,2748936624,94040439954,664958,-155.48,
2001-02-08,5693.63,5763.14,5653.86,5758.6,2644197803,103542687859,658517,65.02,
2001-02-09,5782.42,5893.4,5742.45,5809.84,3449834587,135185386916,838786,51.24,
2001-02-12,5807.61,5894.27,5795.68,5847.07,2896041932,114454516887,720728,37.23,
2001-02-13,5922.02,6027.49,5917.63,6027.49,3871415174,153602399812,922768,180.42,
2001-02-14,6060.89,6097.29,5887.68,5887.68,4538748912,171101228036,1098433,-139.81,
2001-02-15,5963.07,6104.24,5945.06,6104.24,3861691258,151255753240,905358,216.56,
2001-02-16,6156.36,6198.22,5997.63,6045.67,4487245791,167472109364,1039892,-58.57,
2001-02-19,5921.18,5991.29,5846.07,5937.3,2941246964,97160166604,713580,-108.37,
2001-02-20,5992.74,6079.62,5949.35,5971.29,3401673029,118236427278,785220,33.99,
2001-02-21,5920.95,5957.78,5863.14,5949.96,2954054601,83369033853,670282,-21.33,
2001-02-22,5885.67,5885.67,5733.35,5759.04,2663219620,85588914280,651021,-190.92,
2001-02-23,5727.03,5778.1,5678.23,5726.93,2427728873,81373812313,601783,-32.11,
2001-02-26,5746.65,5789.17,5708.17,5716.02,2466281050,77148079552,578466,-10.91,
2001-02-27,5788.02,5805.4,5660.14,5674.69,2678460637,87363966787,655548,-41.33,
2001-03-01,5581.95,5584.46,5478.65,5499.86,2367052657,74173325983,579932,-174.83,
2001-03-02,5536.19,5561.38,5471.62,5499.54,1996012181,67223050131,516871,-0.32,
2001-03-05,5506.6,5609.74,5473.01,5609.74,1854746920,63050724763,497685,110.2,
2001-03-06,5689.64,5736.32,5626.87,5635.06,2787624568,100582386777,720175,25.32,
2001-03-07,5735.79,5793.76,5735.79,5777.13,2889798735,109699645652,725593,142.07,
2001-03-08,5794.34,5794.34,5697.67,5711.02,2570701430,93565965466,660047,-66.11,
2001-03-09,5655.92,5683.11,5632.26,5680.43,1930788147,63662863963,506315,-30.59,
2001-03-12,5578.69,5615.82,5556.07,5582.67,2002094311,71471843125,527133,-97.76,
2001-03-13,5509.79,5646.86,5498.56,5610.4,2774428142,105717051075,741201,27.73,
2001-03-14,5683.88,5703.52,5642.26,5658.21,2582621712,105386158818,679934,47.81,
2001-03-15,5656.42,5742.74,5600.66,5742.74,3180029931,125423004151,821128,84.53,
2001-03-16,5749.48,5846.39,5749.48,5783.93,3977043412,147561754959,977693,41.19,
2001-03-19,5783.02,5791.38,5629.12,5641.89,2349977843,76513287389,604052,-142.04,
2001-03-20,5693.05,5717.21,5624.3,5642.7,2052783885,77574970339,559264,0.81,
2001-03-21,5602.14,5684.35,5602.14,5623.42,2301574676,81348274778,602033,-19.28,
2001-03-22,5647.44,5735.74,5647.44,5730.95,3182194084,117659101906,797710,107.53,
2001-03-23,5801.57,5836.17,5790.29,5800.55,3933474862,145580283986,949225,69.6,
2001-03-26,5848.63,5906.17,5810.66,5896.32,3832241468,136594097403,894709,95.77,
2001-03-27,5943.91,5981.31,5871.11,5884.33,4179244881,152261924766,1008531,-11.99,
2001-03-28,5907.53,5922.81,5819.29,5819.39,3105057034,108890283376,774057,-64.94,
2001-03-29,5812.6,5846.63,5787.12,5833.88,2405966229,82579030818,603933,14.49,
2001-03-30,5863.58,5865.48,5772.39,5797.92,2931483165,99301197628,720949,-35.96,
2001-04-02,5797.85,5797.85,5596.18,5607.73,2207966979,76514943967,588118,-190.19,
2001-04-03,5521.99,5538.09,5439.4,5446.82,1923167133,70315067021,543718,-160.91,
2001-04-04,5386.59,5455.52,5345.6,5405.85,1973983889,70008274595,529918,-40.97,
2001-04-06,5570.71,5584.14,5508.81,5515.13,2309289622,83534712448,577423,109.28,
2001-04-09,5476.75,5476.75,5391.09,5401.83,1640778481,55171251125,446710,-113.3,
2001-04-10,5432.96,5506.1,5349.14,5353.5,2102161601,74543799811,559496,-48.33,
2001-04-11,5470.67,5474.17,5362.43,5467.75,2171682810,81580329897,572621,114.25,
2001-04-12,5521.93,5563.51,5503.11,5533.22,2426493420,91451800098,640148,65.47,
2001-04-13,5592.3,5601.49,5492.44,5495.47,2578685291,93107088887,666004,-37.75,
2001-04-16,5490.42,5490.42,5409.05,5432.28,1384750558,45469194246,386592,-63.19,
2001-04-17,5404.76,5458.73,5391.25,5431.95,1201263563,41454223468,353163,-0.33,
2001-04-18,5479.47,5523.72,5472.79,5508.61,1915719580,75809040674,532814,76.66,
2001-04-19,5682.46,5683.63,5605.07,5608.5,3061493444,128784180758,792410,99.89,
2001-04-20,5645.11,5645.11,5590.87,5596.63,2189168435,85136881704,605536,-11.87,
2001-04-23,5607.46,5612.69,5562.67,5597.7,1592475641,58151755052,443775,1.07,
2001-04-24,5569.62,5644.68,5567.43,5589.34,2051507179,78297780103,568066,-8.36,
2001-04-25,5594.19,5601.35,5500.97,5516.2,1733666942,60701833220,489216,-73.14,
2001-04-26,5542.39,5548.67,5461.5,5518.73,1818063563,60709376295,482903,2.53,
2001-04-27,5505.61,5509.32,5416.67,5416.67,1396661327,45134079639,394123,-102.06,
2001-04-30,5430.59,5469.66,5371.81,5381.67,1516458148,55819754158,426344,-35.0,
2001-05-02,5469.95,5502.53,5267.04,5304.24,2006973595,75047955280,521482,-77.43,
2001-05-03,5287.72,5405.54,5264.96,5405.54,1714346640,59061574220,462896,101.3,
2001-05-04,5384.3,5436.53,5211.7,5244.05,1901910428,62827420467,517254,-161.49,
2001-05-07,5278.91,5316.79,5200.75,5229.93,1433385185,49182730853,396868,-14.12,
2001-05-08,5214.25,5256.79,5105.37,5176.71,1620019564,50963335761,422137,-53.22,
2001-05-09,5195.04,5248.29,5166.39,5232.64,1556538927,52063353765,433053,55.93,
2001-05-10,5215.55,5215.55,5117.14,5122.17,1289633417,40706203421,361307,-110.47,
2001-05-11,5110.91,5251.39,5033.56,5232.72,2162425035,68136605706,587040,110.55,
2001-05-14,5161.25,5212.04,5144.17,5176.45,1256935361,37846519601,345302,-56.27,
2001-05-15,5166.97,5210.36,5142.89,5158.79,1165519129,36549638954,335484,-17.66,
2001-05-16,5147.02,5148.6,5081.14,5082.02,1189623881,36166078689,338854,-76.77,
2001-05-17,5112.23,5175.53,5090.86,5143.44,1611309477,51281174289,444065,61.42,
2001-05-18,5180.91,5180.91,5094.79,5111.67,1491326248,46775978387,403946,-31.77,
2001-05-21,5079.72,5079.72,4902.22,4958.61,1357830744,41176548149,368094,-153.06,
2001-05-22,4991.67,5049.04,4973.06,4991.48,1504874409,46410564206,416194,32.87,
2001-05-23,4998.68,5209.97,4963.46,5209.97,2162449887,70278427192,573861,218.49,
2001-05-24,5193.87,5246.79,5172.05,5226.79,2210266978,74393510911,584296,16.82,
2001-05-25,5206.23,5229.79,5165.3,5170.08,1616371884,56461467990,445231,-56.71,
